d,pobs,turn,risk
386,57,0,27331286405084418000740654185209963073190969814420019970502284486809057580989420386349399688275786130478225121254603567370895236662239595664794549524768815585751488392372391944766189610154817019600634776176320148531487644640306796338532939853522140225469159414679917496033014205435385110789297694869559090544779484223404024532601744570936742237722262498974199230106227488795840082778711987264025757072349414014612092746738699769481074114147715749389446536684975122289084749151528907424246008760985272687399929125980391998614859862317027332182582805684675887552662671030515500572809450087804557748346210570065576295818417234916874806976195454474110946591770173726810800120654993814202299347500433096556612304581390606558040024843379846530741286070042255279988735525308063458788872209102702785567148879077808367630545484011588430677283357709266370631525836542532166162564460521063565337845616864273041930130208920580393679163581364275872397189350851768914120580360490605859897827530307625218099266189215617943149243710646604302196361644761863127008271960634692832726866397989145397571609126563783288902059783506555245489958387094650506343120570936230090749506946915978575664696576349953890972806713443236680041134678595554555442292101425280279343541815560592107303649454590315686802369198945375289405016867504211096303672246350057350491964098825803265123217339023944520121400449219635049025082992782590052593285354300303233827533585516244030608528640656290293735979685307112412938333558768317738991097234563808156358293/39057280454241190438363672575834587823513473571697245686867990080000050051268861194632751246810782801693391437916216551631342714903598003904777856310242317319275254713500893184204396885683793527526425542403036206669043265683472697033440754453900535363038812718549158592073842369834844304155289965159291237085440164741446528407897500217109192277020059388435217079832363978287346364141744029579164205651540296004123201164007736849340243122044209036367301931232602909019721417424393987790719181015401684973041142080740920666728721716438474894605529298635334090661453449795554036692559504994414830803352697515913088842885709565066271859520961004810922299171899271697362869958216003625427991039272075271044847867801308860472651839978281425092829232257500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
386,52,1,688985875088857330716233299360799256674478290103032665467001356942394643499662068771381326244480242573214613688729552426097129800423413684043406435485418749249953491588118605603258199052186116799961202366300309658346386415438180310972744355755201722548399797048310449205959251244185848785769645307788732337058812384109769183016732252041583450628956191238807136692375842510232586112843740480714472773028684748995637770310743285392642122588527875964181745619037599393430299863934665650854615306117022846274299793784374454079589513676352197982569804382159665451624384498720802891039413022845407864444645459322560299136416469090013547938906858770582103836093703942414300329161077734201402872243476988100032722921061663444568623282416768403530154966012503974953950036149971359482875984625207625578988175521273160985180944300719738565523627842995241532713642503429345368795357557583759118580120565359328214854861739102990940732014834334875900480433548314537325745184375765142094286683461309388577556088420770419386678488615746233377921045537223643054515066415350503708158515962688039235141943338653991338858047859738950550856712732938398780872533545923560823536164889396346318114972220389977291843687744646651240593882031131974410552349926272440077841129159430526388145346284806855279075614811571/186979215318989292967550911581761355317082756906540415361090074298480335851421011539545118758735149821513913509874290680923352149404927450664650879827067206189337046950147793127975664447231427315466075056964084007123317861398205686924912756693112908428744254512479151850016895010048647379333350453536885547450627372054444174928283281559857206716230760312210669008757044725041615280783799637627414568300939972261283092394357814918201567203767905563794618602870671071229346250798444936531920977578587565837618978066240043705799382375428719907002520724023037310926069093198618948952854475290589520700222033376009610459800376307358009265074005762471289668927303786541630487926145352337693088286299308687900246477948863647003501171410420486378776148680499525000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
386,52,0,85955103206849047339223407514747756630244819486496926588893026818408908478297581196207412252004274976427744597179190228047642781868089590640907175132961488614914345748794589154972482521361033004924336237511678788911580030285283143148572969850226186989962883204307371793879014747263062095700165944516697391962460912704930849837195480615327549853341738704540068674703259491074937365971425924750228198953718379945263247835606725507351142982332602720468547867072011687445994783954902477028948522411707081884984316791600150007054172026909654105270946437253516081082904527577486291042295162618943075750490708571292855518694295971045128622215530993625286582251164313116922048011981522115077120754824244992811740447402744823399694075614437297795755099840056594943048640504677391928843293220839687198002225250447096163704954701513176688601237040301579908045718993518978697811658432052660581283006379270979631349794202303129051068127230394852203693302207045075792453782437178129918163157062337831942535355293511705800425458110670286707004948219685876149527171631068418778249177593524039838372773201616207139169160591773563559679861167122935811716751349249151273511232318534313585404239130944409038967422532227556173212046119222619176969981292142772276055221336189563919584066109808812295501909/28467405578892995946329207416789058180403406393365339421915444664723068550487508159353317235284827114936874225886455212559287693078424201096776863199885070932416366409257210775659181403559616273707307246649443299321460106183289137779475768552405638019707589445006675358654404059646387976789569945451378452686180878091433329743365524939583959385583133665040245685009011645982030877654332383075192569716866104959273470236157242601559943966504525536710861465912975881209709487918654510051544592576823385548863806181298047133184199501777314063123563628742954876575403389063814895548512758742284862101569021513056187203269467613022064037551720848987552696189430956047640575771294463283839643614629792471607031973616114329790562565581837773391274950625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
386,55,1,182087218698100559365535464723174063919819198905002169883730968057598870925241071941299220075780703365994702997966299567788131811348690916575047390344487973699244272593350480328207876462072254595946406528105221964978661549571758294744584540032932136188961641303616668227214866532202779225435310840486666200575721026319446510422532307839210693126123587421309131746417505537360942377088290032847185022753664059722615373542712988268933325278434007202508149329065922549138613156083267127167542875877088189157755439765679711632056500752679062835161667374688742968701444146222421707734143190257238912376786410800720418720177673981640339938047102565815281935056708567034391191669440207662685234885697658663284173812638042163594000774430545900309025641611883645291021075703916773527479056216221207147736404271757595335665107341614115615946953955420228470648393430345747540494451958144541915289501579796224536323341986391791115492725238312834627191056865259664671970701125573513648644028847132468593732657290730748588336258961919631691428525657783938563856872356396547810479520728327086026335537423211768943097838896928891700408804710903467024293160735121272974413205618933354873569591111148439696543946634652272690145500644467019836342843223587737966587463123056934718950316284178951945668994779803/104695545209490313055405547964540190623590531848254516518579790145946768752102402908799482328866794247136868415717617153318381180031110447143248079592343827566548398589785055177394181066401986616390146075508155829411279398018355181105699560731992353247893557951262667909232809584187523399558288169830553911039494833804524446005544582908478873668553193860674910302804117584135583741596878172614561008667556828391871151779565813707328137269645750721253832624304130549528219937779701844278405131889333550227175277895861742509221129508253491505297271549389887912723239071409514595925330471427586114558663241018546468768526797234292397473573467656082677502382997323354612590255935919390974202918840714988111368939358042574666716427890317305379043357316989325000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
386,55,0,9034963411646580836535767345900224701536470146775086256025919021671735408851573112953697467256337611934580990834176291191985650809503110665373373135866540902862604271346590845535059846686797145874210103665316953515187017037307967418597425547684752710141090047471570953122053030756924731083249003642897748203915504505412331282664879529747664783899964284479233052875234292246854568267829647492988482935242228238509104030649692646935106650904827538910279976910672663972360892086313381339986363564810539000212445836561150513668771747223778261109895022302373778143609304325981786795465411916614832324273709378592075965410328528918414977336284918474367940146768714456834862052072414654957614266737376767217930680624666289265996357121744778610885359115037199122636223936362543007547013675434244476979307126011194941366559704656180271584779437833058424783593098485132981812389973389066315495428810596352003433826896470337598908523809703265151137301047394406003119589879201095141487690540458746591079012059844968833968992354583254982055068846754426999069280866176223844422335781044629066842582129167494240277558241902011532072373465570628764139111454491029459915285562903419530377411144388114080086903600733842507773306030057553763570098004216390316987963631453655880632808602542998506369581019/6974514366828784006850655817113319254198834566374508158369283942857151794869439499041562722644782643159534185342181527077025484804213929268710331483971842378442009770268016640036499443872105987058290275429113608333757726014905838755971563295339381314828359414026635462870328994613365054313444636635587720908114315132401165787124553610198070049467867747934860192827207853265597565025311433853422179580632195715022000207858524437382186271793608756494161059148679090896378824540070354962628425181321729459471632514418021547630128877935441945465273089042023944760973830320634649409385625891859791214884410270698765864801019565190405689200171608001950410566410584231671941063967143504540712685584299155543722833535948010798687828567550254480862362903125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
386,55,1,414901419826315919352607023659068997723390884310885763579619316992809285956012005517085274035013202033495861696247972968857247968039343343802075580532898570956527556686879936569478892732821535869867607776013506070565671754300646711119748417295910108939200360118087280879083881403125578450816071497316039369975860634244972328303578087618971381760783804722530169976450899109043093123138377816021670858688020131107262032509704184921587382275107527196431323085640490436522743654561953834077305370873736595637039599078251673061421640933027105885852867460545984119611213841006650957562055568086608105427783663390555497939341050545370068753143747549755655401306422618914319906641332070314039765053765190798407140798200162013765779744438520488026816919307003045279407724344664758120524463185047477657431172424552965388251801820592009833456725749321241723522273074102028353108212669916401721264654131250886764024328614809042610819201248061145852785256617548365825704089347117152449018166016252911760783531294762190849513249637479961310053842115159318634545085200532177830010558626437277177361338517736027151156660559192916691242797014005443759010217926276121889715497139140871526503503577192660097898796197505089095047504225499246329567981943788266660970948614074724675475208369477636000220986115897/122969342558281586009816299479999621799669505601168728590173724030373522996743788994714824688793258703933910275896009126140715505141962317617702044840058640087507061135211651193333248380248845855561388411159142219262573797650607169902226596979793867383259681385160377523965617589579784049362897037082954709931535886473367368084089945857050608114196732314513970055538732045301358214985347775802387146075271557016162987805435284387476139888749943751731170332850711807147736204387090710553696974249442871480681539292777084057140589376866378655358358732355474501742373087448769883955598883184857934194079632801710926096654003820478901195574214040960188579490003531369315578730505165741645556849076211766809049282055786773028371147343085121487058237511978175000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
385,55,0,5685585241468860137936382909143093556101834633588809251433237433949983680015096265441962123912763657493974048517367532763218903647546479267582763907907893645992123944445811350065835289436512874996903567268149681392551590022557955636359789409844528514211528932681798684693704582530814457944693304650021177670756175676893239951913465409241906184894170828638066621827202727287128201471311346902946632826869841588970790859260872806257049254928787072040484055276205799109344226226203697153179550877748264787439030691658909882441610123597235554684772498287262066995620170191912948311742285273537431691191962015785988815702163714848565521682400550837042139874287703900761696396159190518461542283877300413132956267008911135923036166565804954470188981602997584676788134447785246419723839550975019596059901191412614963975810361964087961186026362119555672891411287191887081134123028414612911621122150736993191254620503216193553353740275140555042403502435386884131622761546115306890934918440240834865171408383458572445535673993162820792325828857620114627864681316803773443056953933532886476345640200245107079157637675882508035815247821652845301982824990882397478695925162221292864611522152560487855005673476630229720356553720490117174103751509971793070934627636200223486855020067678711302084659/587327525627687074261107858283226884564112384536800687020571279398496993252163326235078966117455380476592352449867918069644251351933804569996659493387102516079327138548885611792547321589229977857540233720346409122842755874939439053134447435397000531775019740128558775820659283756914951942184811506154755444893837063781150803126278198753521688376241494562935595185449082380260847581078857587656604596263763849686063175398612584200605159729988105810034615507257186601800322066532240417905551594216566691323926948582570235589905589720879321723391418024591490085134638342790286266053526390893456102306055601743053967562191121279192058037909188042269508258224049198456584510649864716171849489312362034151050343876711411435678975037267389851019988455000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
385,50,1,138483505601090751489821906102458655560204266147267988676395059470097232841913787936480360806762064368847074329093296798639894786934978505072328227997472350868637638025561162678914635813755191186905339895898420902433884996331355968250801832379722338061669635842945478259929700454000878580990572546655638923862284273753667320464432639758847791309550177589309048249673360481259838735126465016366824812706242049713571521423709427989149270947885368439896893878114532298656579069551374137175725053984572903672510681291863352923996175869757556429802312130414702966491054472853127646715144492836767223175334560478266647369426680477566998802713122482868234781418421856637558540314168239753789834262170413629554038243405710096988927550982400816691617431868041889105194770855003232262769867901378156569772602841451846567426745707730340089334321692762094267925767278936328605169762173637369486157699559325382928482784351166117541226335923974521154509784704112474944522441410836631744808646803466779430210906440197774794871326214015128761854484628843988452258484216797850155594347495880749836474285213105409671597819517899010081490409896006374274053819248959732959040888288657990819185759039434756912892090857020611922255912223716670197092508084740065831720713480417047000652383506312236281/30911975033036161803216203067538257082321704449305299316872172599920894381692806643951524532497651604031176444729890424718118492207042345789297868073005395583122480976257137462765648504696314624081064932649811006465408203944181002796549865020894764830264196848871514516876804408258681681167621658218671339204938792830586884375067273618606404651381131292786083957128899072645307767425203030929294978750724413141371746073611188642137113669999373990001821868803009821147385371922749495679239557590345615332838260451714222925784504722151543248599548317083762636059717807515278224529132967941760847489792400091739682503273216909431160949363641475908921487274949957813504447928940248219571025753282212323739491782984811128193630265119336307948420445000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
384,50,0,312374181939221378725384692291336563627869968385161984836691461148942293785122898759196728787346540441322743636811339549496158717094355157289807225763509409299820991905593292051773560788636006560884445633716740257147640480074320646867206599881678674330355174983053041727317177991818587929567140387550078629012650918631351807967822224371441346982859479420956049802621015094868463968645687639671652476411741331268041520456777375139976028680367735192002659315908146441908104643649944072028184710045107229089500388726878517470702813591218700082578041454558074383491756654778571135810484134116579663355153337375430489465843137025315385246587319882488494016800593533939100388395038566581607723248409768310287794245663700531527525773572368807412669200659459711569810506635114878701880814533363114968035149180558399191905551815035423247892726358097678257155187713028597063073091580013060838097648227277976876040193828112847094301293111340204736335850913690821560591718544385480670951213551388007194763393229940782614626823129436825281062859811996855427811326228428691937299317103709966503712795449103203355249775923813132241453146390897720492984965116987186716250590754101067926829728588149007899293863984530361808978774068238276868559423864674999762981638891653579402690364560416158937/30911975033036161803216203067538257082321704449305299316872172599920894381692806643951524532497651604031176444729890424718118492207042345789297868073005395583122480976257137462765648504696314624081064932649811006465408203944181002796549865020894764830264196848871514516876804408258681681167621658218671339204938792830586884375067273618606404651381131292786083957128899072645307767425203030929294978750724413141371746073611188642137113669999373990001821868803009821147385371922749495679239557590345615332838260451714222925784504722151543248599548317083762636059717807515278224529132967941760847489792400091739682503273216909431160949363641475908921487274949957813504447928940248219571025753282212323739491782984811128193630265119336307948420445000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
384,52,1,528878602622472380689903512080484501292333290108858702086707599879697138405679879877926868674890816033438707986245199552517607342048526637986263072943043045677068432238075901138300576982871539995729843652023646995553040641669902684587078909720164596299726530322354863142096761700855476555139881424984196614965942604742931310000082661353854243424692607895581765797208751640460039633969683926594475210699132351757691696951648450150022476030831242480661686137944610195250559486821052290903865831901444652645143120158547450904627883467817809447835424978262946327786301206272800109275273834527195843036930119059199006901195643014584631564758507365021745776986277009654206206841130052127429815995513584375883715377759966484393000638667759239815167658530140781590143018563190990083033352574925445647858975289376596665935375253599285966405643550731781253737259178008797913997698688976232857773249173156107187363713680965829617239994599992296722635883481805933984906478709917966766096271349483524464614486464669124486471689936041948507305031727624242077792589722632687180598700928970728842458404911375362912746268571786742851167932311165168239075310166759455433465454517484934121153096036416953254928002996141428490224473491116328729650311398319020618242546661590474708248762914715166377297/86207659955011314905376781400318660949829008737565362884088520742264261551842981163793613482818233473956535591928419170121772932385559591852019218999627131773531245783216317441600275836812773581123316290009133699644937683401199930883861413147716665453768226691015107728586971815485076305890549957733870958846778593486642878096983666047757176911913684243113660438921198175677651708227705380328443215360836416843330076052975521566088150745211785003418623705134118213686018536724558121890515949445138060397442593384022343219111512190692530460446359649927627945974930257556165225437314465483144710171670525772476226375129135620487982242940248597559043440733441847808478377215679202066073247787055049199679575394522167721828724854588807927318853911920200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
