Index,Observation,Risk,UnfTime,McTime,TotalTime,MdpStates,MdpTransitions,TimedOut
0,20398,0,6.150999990950368e-05,7.186999994246435e-05,0.00013337999985196802,4,4,False
1,53355,0,4.196899999442394e-05,4.660700005842955e-05,8.857600005285349e-05,5,6,False
2,14036,0,5.238400001417176e-05,5.3782999998475134e-05,0.0001061670000126469,9,15,False
3,55201,0,6.770599998162652e-05,6.339999993087986e-05,0.00013110599991250638,13,23,False
4,20994,0,7.812299998022354e-05,7.113199990271823e-05,0.00014925499988294177,15,29,False
5,77153,0,9.171399995011598e-05,7.900800005700148e-05,0.00017072200000711746,17,33,False
6,37210,0,9.915300006468897e-05,8.327199998348078e-05,0.00018242500004816975,19,39,False
7,59042,0,0.00010278100000959967,8.800600005542947e-05,0.00019078700006502913,21,43,False
8,83488,0,0.00011269599997376645,9.365799996885471e-05,0.00020635399994262116,23,49,False
9,12051,0,0.00014358099997480167,0.00010945399992579041,0.0002530349999005921,25,53,False
10,93720,0,0.00015898000003744528,0.00022659199998997792,0.0003855720000274232,29,66,False
11,12051,0,0.00020405600002959545,0.00016429500010417541,0.00036835100013377087,33,74,False
12,93720,0,0.000290344999939407,0.00018348899993725354,0.00047383399987666053,37,95,False
13,12051,0,0.00022520600009556802,0.00023309799996695801,0.00045830400006252603,41,103,False
14,93720,0,0.00045459199998276745,0.0002635069999996631,0.0007180989999824305,45,124,False
15,12051,0,0.0003239259999645583,0.00021933199991508445,0.0005432579998796427,49,132,False
16,93720,0,0.000454362000027686,0.00026774999992085213,0.0007221119999485381,53,153,False
17,12051,0,0.00032358400005705334,0.00024266100001568702,0.0005662450000727404,57,161,False
18,93720,0,0.0002974049999693307,0.0002503209999531464,0.0005477259999224771,61,182,False
19,78616,0,0.0003030369999805771,0.00025456999992456986,0.000557606999905147,65,190,False
20,83488,0,0.00032148799994047295,0.00027760299997225957,0.0005990909999127325,69,211,False
21,12051,0,0.00043116400001963484,0.00031891599996924924,0.0007500799999888841,73,219,False
22,93720,0,0.00036523100004615117,0.0005295849999811253,0.0008948160000272765,77,240,False
23,12051,0,0.0004675020001059238,0.0006103760000542024,0.0010778780001601262,81,248,False
24,64097,0,0.0005133109999633234,0.0006402160000789081,0.0011535270000422315,83,255,False
25,36168,0,0.0013931189999993876,0.000772710999967785,0.0021658299999671726,85,259,False
26,79218,0,0.0011115710000240142,0.0005239490000121805,0.0016355200000361947,87,265,False
27,49405,0,0.0005821150000429043,0.0003704590000097596,0.0009525740000526639,89,269,False
28,60547,0,0.0007516639999494146,0.00048044899995147716,0.0012321129999008917,91,275,False
29,92360,0,0.0005166089999875112,0.00037434099999700265,0.0008909499999845139,93,279,False
30,58219,0,0.0006092559999615332,0.0003986149999946065,0.0010078709999561397,95,285,False
31,89126,0,0.0005051350000258026,0.00037807999990491226,0.0008832149999307148,97,289,False
32,39213,0,0.0006948869998950613,0.00044456300008732796,0.0011394499999823893,101,301,False
33,90415,0,0.000708056000007673,0.0005062640000232932,0.0012143200000309662,105,309,False
34,58219,0,0.0006480990000454767,0.0005402489999823956,0.0011883480000278723,109,330,False
35,75043,0,0.0005891259999089016,0.0005014700000174344,0.001090595999926336,113,338,False
36,58842,0,0.0006198670000685524,0.0004997429999775704,0.0011196100000461229,116,347,False
37,4266,0,0.0005987949999735065,0.0004719840000007025,0.001070778999974209,119,353,False
38,5173,0,0.0006136090000836703,0.0004716120000693991,0.0010852210001530693,122,362,False
39,88149,0,0.0005552740000211998,0.00044604300001083175,0.0010013170000320315,125,368,False
40,59539,0,0.0005623710000008941,0.0004503040000827241,0.0010126750000836182,128,377,False
41,63919,0,0.0005680060000941012,0.0005551040000000285,0.0011231100000941296,131,383,False
42,31200,0,0.0006192680000367545,0.0007026540000651949,0.0013219220001019494,135,399,False
43,14082,0,0.0008019790000162175,0.0006422070000553504,0.0014441860000715678,139,407,False
44,4116,0,0.0006809830000520378,0.0005717410000443124,0.0012527240000963502,142,417,False
45,13774,0,0.000822431999949913,0.0006724689999373368,0.0014949009998872498,145,423,False
46,20416,0,0.0007460590001073797,0.000679508000075657,0.0014255670001830367,148,432,False
47,51003,0,0.0008155419999411606,0.000600082999994811,0.0014156249999359716,151,438,False
48,29616,0,0.0007056670000338272,0.0005952010000100927,0.00130086800004392,155,454,False
49,76082,0,0.0007836480000378288,0.0006068050000749281,0.0013904530001127569,159,462,False
50,54287,0,0.0007395380000616569,0.0006331680000357665,0.0013727060000974234,162,472,False
51,81953,0,0.0007637810000460377,0.00064433900001859,0.0014081200000646277,165,478,False
52,29407,0,0.0007401789999903485,0.0006094670000038604,0.001349645999994209,169,494,False
53,91692,0,0.0007359160000532938,0.0006010140000398678,0.0013369300000931617,173,502,False
54,87174,0,0.0009713399999782268,0.000638496999954441,0.0016098369999326678,176,512,False
55,5265,0,0.0009309289999919201,0.0006079439999666647,0.0015388729999585848,179,518,False
56,51881,0,0.0008625850000498758,0.0006337219999750232,0.001496307000024899,182,527,False
57,81754,0,0.0009882639999432286,0.000840523999954712,0.0018287879998979406,185,533,False
58,19631,0,0.000959007999995265,0.0009429190000673771,0.001901927000062642,189,549,False
59,51794,0,0.000978874999987056,0.0007314189999760856,0.0017102939999631417,193,557,False
60,51881,0,0.0009511449999308752,0.0007057450000047538,0.001656889999935629,197,577,False
61,24076,0,0.0009163860000853674,0.000684694000028685,0.0016010800001140524,201,585,False
62,31886,0,0.0009203770000567602,0.0008203749999893262,0.0017407520000460863,204,595,False
63,15069,0,0.0011812249999820779,0.0011002799999459967,0.0022815049999280745,207,601,False
64,85672,0,0.0014383110000153465,0.0007954610000524553,0.002233772000067802,211,617,False
65,3973,0,0.0011496770000576362,0.0008125580000069021,0.0019622350000645383,215,625,False
66,31886,0,0.0013191529999403429,0.000950810999938767,0.00226996399987911,219,645,False
67,15069,0,0.0014181830000552509,0.0008618990000286431,0.002280082000083894,223,653,False
68,29765,0,0.0011109419999684178,0.000818189000028724,0.0019291309999971418,226,663,False
69,81754,0,0.0010301959999878818,0.0009565960000372797,0.0019867920000251615,229,669,False
70,19631,0,0.0010693279999713923,0.0008123510000359602,0.0018816790000073524,233,685,False
71,34770,0,0.0010249910000084128,0.0011520559999098623,0.002177046999918275,237,693,False
72,32012,0,0.0012024610000480607,0.0010238730000082796,0.0022263340000563403,240,703,False
73,10030,0,0.001293271999998069,0.0008722060000536658,0.002165478000051735,243,709,False
74,57510,0,0.0012566410000545147,0.0008442660000582691,0.002100907000112784,246,718,False
75,47484,0,0.0010720669999955135,0.0008050200000297991,0.0018770870000253126,249,724,False
76,79068,0,0.0010361639999700856,0.000854411999966942,0.0018905759999370275,251,731,False
77,84408,0,0.0011017789998959415,0.0008278429999108994,0.001929621999806841,253,735,False
78,85848,0,0.0010861189999786802,0.0008571769999434764,0.0019432959999221566,257,747,False
79,36119,0,0.0011284660000683289,0.0011530839999522868,0.0022815500000206157,261,755,False
80,27007,0,0.0014063799999348703,0.0013821989999769357,0.002788578999911806,265,775,False
81,15583,0,0.0013176410000141914,0.0010257810000666723,0.0023434220000808637,269,783,False
82,56466,0,0.001295160000040596,0.0009354979999898205,0.0022306580000304166,272,793,False
83,82517,0,0.0012027459999899293,0.001047344999960842,0.0022500909999507712,275,799,False
84,56466,0,0.0012179919999653066,0.0009366890000137573,0.002154680999979064,279,815,False
85,82517,0,0.0012226119999922958,0.0009718419998989702,0.002194453999891266,283,823,False
86,72554,0,0.0013261149999834743,0.0015119270000241158,0.00283804200000759,286,833,False
87,90203,0,0.001608337999982723,0.0011507350000101724,0.0027590729999928953,289,839,False
88,77125,0,0.0014252700000270124,0.0011507330000313232,0.0025760030000583356,292,848,False
89,24252,0,0.0014209479999180985,0.0012200770000845296,0.002641025000002628,295,854,False
90,44277,0,0.0014205300000185161,0.0010136629999806246,0.0024341929999991407,299,870,False
91,59735,0,0.0013696949999939534,0.0010184039999785455,0.002388098999972499,303,878,False
92,27778,0,0.0015217479999591887,0.0012667249999367414,0.00278847299989593,306,888,False
93,19159,0,0.0015211879999696976,0.0012115050000147676,0.002732692999984465,309,894,False
94,45585,0,0.0016597970000020723,0.0014793689999805792,0.0031391659999826516,312,903,False
95,60014,0,0.002094925000051262,0.0014257960000350067,0.0035207210000862688,315,909,False
96,76556,0,0.0018865779999259757,0.0014436980000027688,0.0033302759999287446,316,913,False
97,3485,0,0.001755629000058434,0.0013356989999238067,0.0030913279999822407,317,915,False
98,4,0,0.0022105890000148065,0.002115127000024586,0.004325716000039392,321,924,False
99,3485,0,0.0026829370000314157,0.0013595379999742363,0.004042475000005652,325,932,False
100,31526,0,0.0015331930000002103,0.0011314440000660397,0.00266463700006625,327,939,False
101,28136,0,0.0018411890000606945,0.0014708539999901404,0.003312043000050835,329,943,False
102,57595,0,0.0016728360000115572,0.001135232000024189,0.002808068000035746,331,949,False
103,11506,0,0.0015977699999893957,0.0011184969999931127,0.0027162669999825084,333,953,False
104,48721,0,0.0015674620000254436,0.0013259959999913917,0.0028934580000168353,335,959,False
105,5587,0,0.0015573190000850445,0.001179081999907794,0.0027364009999928385,337,963,False
106,60776,0,0.0015041469999914625,0.0011202240000329766,0.002624371000024439,341,975,False
107,3168,0,0.0019509189999098453,0.0016900520000717734,0.0036409709999816187,345,983,False
108,59848,0,0.0018112540000174704,0.0011762029999999868,0.002987457000017457,348,993,False
109,61725,0,0.0017295860000103858,0.0011341509999738264,0.002863736999984212,351,999,False
110,32062,0,0.0014604699999836157,0.0011273540000047433,0.002587823999988359,355,1016,False
111,42119,0,0.001466308999965804,0.0012320189999854847,0.002698327999951289,359,1024,False
112,48811,0,0.0021740370000316034,0.0013411060000407815,0.003515143000072385,361,1031,False
113,60838,0,0.0019442510000544644,0.0014269990000457256,0.00337125000010019,363,1035,False
114,16674,0,0.0021861019999960263,0.001312381999923673,0.0034984839999196993,365,1041,False
115,9948,0,0.0018189449999681528,0.001286535000076583,0.003105480000044736,367,1045,False
116,17898,0,0.0021743419999893376,0.001628789999926994,0.0038031319999163316,371,1058,False
117,2029,0,0.0018939049999744384,0.001249578999932055,0.0031434839999064934,375,1066,False
118,84144,0,0.0023960569999417203,0.001549794999959886,0.003945851999901606,377,1073,False
119,87588,0,0.0019310590000714,0.001304744999970353,0.003235804000041753,379,1077,False
120,82088,0,0.0017837930000723645,0.0013371950000191646,0.003120988000091529,383,1090,False
121,90119,0,0.002053141999908803,0.0012537379999457698,0.003306879999854573,387,1098,False
122,84144,0,0.0017665279999619088,0.0012315159999616299,0.0029980439999235386,391,1119,False
123,4907,0,0.0017887249999830601,0.0013101460000370935,0.0030988710000201536,395,1127,False
124,9280,0,0.0018553099999962797,0.001230341999985285,0.0030856519999815646,398,1136,False
125,12906,0,0.0017491890000655985,0.0013989630000423858,0.0031481520001079843,401,1142,False
126,71270,0,0.0019909899999674963,0.00127063200000066,0.003261621999968156,405,1158,False
127,53365,0,0.0017790339999237403,0.0012522020000460543,0.0030312359999697946,409,1166,False
128,44151,0,0.00221515000009731,0.0019164920000775965,0.004131642000174907,412,1176,False
129,73750,0,0.0021740150000368885,0.0014929730000403652,0.0036669880000772537,415,1182,False
130,25310,0,0.0025666379999620403,0.0016177289999177447,0.004184366999879785,418,1191,False
131,41066,0,0.002122636000081002,0.0014354770000863937,0.0035581130001673955,421,1197,False
132,38716,0,0.0022397699999601173,0.0014992080000411079,0.003738978000001225,425,1213,False
133,80392,0,0.0020450949999712975,0.001414765000049556,0.0034598600000208535,429,1221,False
134,25310,0,0.0023468159999993077,0.0015556910000213975,0.003902507000020705,433,1241,False
135,7465,0,0.002064534999931311,0.0014793869999039089,0.00354392199983522,437,1249,False
136,13522,0,0.002323708000062652,0.0016222990000187565,0.0039460070000814085,441,1269,False
137,1273,0,0.0021641659999431795,0.001626406000013958,0.0037905719999571375,445,1277,False
138,44324,0,0.0024129820000098334,0.00189522199991643,0.004308203999926263,448,1287,False
139,87702,0,0.0021596870000166746,0.0017035070000019914,0.003863194000018666,451,1293,False
140,3279,0,0.002517314999977316,0.00171757600003275,0.004234891000010066,455,1309,False
141,24084,0,0.0026204710000001796,0.002536992000045757,0.0051574630000459365,459,1317,False
142,44324,0,0.0023808619999954317,0.001702035999983309,0.004082897999978741,463,1337,False
143,47982,0,0.0023102060000610436,0.0017828079999162583,0.004093013999977302,467,1345,False
144,1980,0,0.002166103000035946,0.0016832169999361213,0.0038493199999720673,471,1365,False
145,34006,0,0.002358526000080019,0.0024717180000379813,0.004830244000118,475,1373,False
146,79619,0,0.0025727510000024267,0.0016227950000029523,0.004195546000005379,479,1393,False
147,11826,0,0.002184840000040822,0.0018937190000087867,0.004078559000049609,483,1401,False
148,75319,0,0.002243948000000273,0.001725985000007313,0.003969933000007586,487,1421,False
149,25776,0,0.002145844000096986,0.002191065000033632,0.004336909000130618,491,1429,False
150,55263,0,0.0028482349999876533,0.001970743000015318,0.004818978000002971,494,1439,False
151,67464,0,0.002832367999985763,0.0019657720000623158,0.004798140000048079,497,1445,False
152,7103,0,0.0024176890000262574,0.0017537690000608563,0.004171458000087114,501,1461,False
153,78683,0,0.002353567000000112,0.0016488109999954759,0.004002377999995588,505,1469,False
154,15019,0,0.0021556899999950474,0.001981783000019277,0.0041374730000143245,508,1479,False
155,1587,0,0.0022910579999688707,0.0018410789999734334,0.004132136999942304,511,1485,False
156,65073,0,0.0023285389999045947,0.0018969289999404282,0.004225467999845023,513,1492,False
157,8241,0,0.002314276999982212,0.0017292940000288581,0.00404357100001107,515,1496,False
158,35608,0,0.002228870000067218,0.0018806040000072244,0.004109474000074442,519,1508,False
159,63849,0,0.002285996999944473,0.001673541000059231,0.003959538000003704,523,1516,False
160,88752,0,0.0024254630000086763,0.001983188000053815,0.004408651000062491,527,1536,False
161,16077,0,0.0025862880000886435,0.0018904450000718498,0.004476733000160493,531,1544,False
162,68291,0,0.002663540999947145,0.0018057940000062445,0.004469334999953389,535,1564,False
163,21902,0,0.0024994469999910507,0.0018363460000045961,0.004335792999995647,539,1572,False
164,68017,0,0.0029476069998963794,0.001972684000065783,0.0049202909999621625,543,1592,False
165,21902,0,0.0031489020000208257,0.0019476449999729084,0.005096546999993734,547,1600,False
166,68017,0,0.00281529199992292,0.0022594370000206254,0.005074728999943545,551,1620,False
167,32185,0,0.0030668520000745048,0.0021865370000568873,0.005253389000131392,555,1628,False
168,55687,0,0.0031021400000099675,0.0023409499999615946,0.005443089999971562,559,1648,False
169,89198,0,0.00284951700007241,0.0019283909999785465,0.004777908000050957,563,1656,False
170,9860,0,0.003213890999973046,0.002148675000057665,0.005362566000030711,566,1666,False
