d,pobs,turn,risk
399,59,0,1
399,57,1,1
399,57,0,1
399,57,1,1
398,57,0,1
398,54,1,1635891978979333144350315373673351846937924760370637025774205489463914368754398037897160102679123321231244488957786529087927618589950108669212339444021602816417956414008625250785158184616543048000698451514197346229631100784857092764557228769666893293665029845212911658921927823142056456665974924504263295350060136815343043863687971255358790301039536941011206646621542067779312332287927009542900384065034660623361514959291676335955804733277347075273249009805240858312556387854554381917780090003183971755191295292885890032578136409843761103603728996234877860518561748436222638730259972744856941879628567013755810636253525615113234669994350616700214759605635538870282699600575927925310667197951577278739399267065241786800886099927481385723223168059046122367393428014262435124966617283976543259458104822243727330203947565175730991744271302438670356654982946372814011073726833920445286531686872564183973614258406549110990099274346495505170662011752747261345882653044887465270862413768720689479471769793616248399750962176872031562723207745014113528534988428630801576439605167754926561158808332274720214425617877544004402942233164615677801617876119147244274376689691276747163572218851910226774143216584973147273165814157518044724154732210136822736952520569877737478893474269500454913726867401217911273565237097470150549125651938281771313/128520382921349653228324461972575768575642005020666180716863129724297895199974612689116356309777558627432360837241358200357698748332264456426419475470737272707186966878572072332511959985502038045598510487298514687114118537414796344980668033226998815810270472151047160509923249196785620515511304487371463357500040090684688876626644947681624747825840151062741290317466092895696962054479905070564139219177845839801765598335753188145542145677042170452866667659065123443433774385878976795509050695099069027106093293374461717304934076517853351299050428170813057417704445228509711750379453892464305527687151198496930568443355319896069150988398053030468914543629753345476198086317112387197457192750354140079292226610489084960509633652423887720095144240799423075866329931718623250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
397,54,0,29841421489750984200593241620303283732497531455910906457411688472045421900754155473393089175170132315123505729877688763398352041776998264274057494336683956249989934526156943158059778429584063996579852384033084143018921166554047887488439998451333231177251495194444542805712926918644541625695421295307484498054768280771781409493404077368833033848376506814706622496243960568426498359528039644769435264436143139916733524737920682635879201244534957396165327631420286173089610101414199707215616178784634467390060969858650017314172908841049430477364912232936971086932039351328231774770225840813271524017022433933030289070846118947496082765474801290041150786488159973392338066150889150340368095033021842426766804545188334327627317675032247228502852119980003526801544926917761498202956011124638256589322784773180763534119806427670341779142429495637310077782729490233996741498469925542981854571112492847676635748275268232656851582690609368882624209027049529349066085514776009832036817946509107698394021750993460068373939821557970357513362926358055919163969345301219560247419360959893420037132081614000211253628412465809024170231363141892716669695585745426299443263813708806138775888171724604360920161446224882650596817269369221694392211910713069552098866146540457234409247042813569233104288291438497089597420869053898331943197169837078282951/2441887275505643411338164777478939602937198095392657433620399464761660008799517641093210769885773613921214855907585805806796276218313024672101970033944008181436552370692869374317727239724538722866371699258671779055168252210881130554632692631312977500395138970869896049688541734738926789794714785260057803792500761723009088655906254005950870208690962870192084516031855765018242279035118196340718645164379070956233546368379310574765300767863801238604466685522237345425241713331700559114671963206882311515015772574114772628793747453839213674681958135245448090936384459341684523257209623956821805026055872771441680800423751078025313868779563007578909376328965313564047763640025135356751686662256728661506552305599292614249683039396053866681807740575189038441460268702653841750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
397,57,1,22786303974630683189534272488652233580117995760826832783696203682961167185833699197224481269943637537019841537506925372611113860523396135480885472090231014483216476109901015061677497726836588054027514973940329926700275084255667706650796402798891375683829999781931513385297254026639128488906773537422131070241933550963617501807403804700113647350368673703633315456446325437960057794598839462638648416436568294104259696382312675916469016074182304596038903672334075127817545359991539750014826654444365036485785643332106881381048649313037426841226474838167791385224895527599364877894656996430893770482077694582037082303819162426718050308121541727399617043759258652877206145279471745565239412926366118446427219075701135179952103359091007292172296766658933078526374342385060041730681187892941810841241475906054954507539272370069251333734399981334336327225975240661745665619913868190759401822421119157464390220533201820332798831343873686328940646151078329795380680376615830125073387915127287661396187730695491623824964045721503757051143255549627676123713555261752745561465345011080227520943779824604987042587575241669336296541143456559921256002082704715546824062670307402358905478493800278880399620748432500636212209785489056793496593482814519651479340864067992425862476412784928757810693185142108121690490093892639043594080180054595390611/855131626777908712434138184713205031608324788105081039835556886168389989725770930951691019262284047277168607657190033251346173203776565995555297628378838836588844109038393783907912049546392554834412269731982927375398874234612829628092706147773062139594746059768175162434212070196093797405603646727769055300208208479325427539547305363827126317888191117902891884212877072044254363594633917243476337971963871826011841685543199901763501522857725606880704486552961975016719366320329150586284139469881446595298484464703479067349887964951262030565439385559465263147216748115821902572191112623779183254944724539247199209863471792485170633855605278598876579428220713166634158225640974760492855447439973810800140336737741989640909728799186948415802230876634883144356844691355256859375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
396,57,0,627202712266448759173845900487965826476164759551790859790771124289971082766571698195234221959683412326949628320918291836394127519129701437739691724900875659705262744204474483129656762015773680466333707063635864855413590032082784825510902425298052484657467651716396789849697680986419030752621502946734377670046382372054152048915346540836628759528018295238946929864695176313485736942984907247961905663292704636622803288737636560325199949995915781204857339379051868592514765148986526163555351583373124549917467191785510498621344372415270908674657802874420111368332206825375410150739574120976441905572690386825807411572023619414966171112066718787484869795270874920938577601902381312562451416284970961500011469128223782119929479495274235219648814012888836686099226038743076569410723186737759152549437670911570687907076600505814479123271229121278875799671199219671089001220043474704602789534324030015614237949421344489057141290381039472508163467907275051282895753747764921417382792755025841759690898454316043640485059733228771409827006369871644038347614821801353149821259907053730260851235971766930610424991195960787187544843015840550734762293536964778824660964831225992117614281032170056989745706541373586881578669110542168072912611384687775600282244792782436031349996791327244377974109987090915032610157720731445851121923396189891/7344021881219980184475683541290043918608114572609496040963607412817022582855692153663791789130146207281849190699506182877582785618986540367223970026899272726124969535918404133286397713457259316891343456417057982120806773566559791141752459041542789474872598408631266314852757096959178315172074542135512191857145148039125078664379711296092842732905151489299502303855205308325540688827423146889379383953019762274386605619185896465459551181545266883020952437660864196767644250621655816886231468291375372977491045335683526703139090086734477217088595895475031852440254013057697814307397365283674601582122925628396032482477446851203951485051317316026795116778843048312925604932406422125568982442877379433102412949170804854886264780138507869719722528045681318620933138955349900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
396,54,1,6545934345020688762475100145060178757631025463653261634816826135602671753519571009077727053834301838124640023370418664614172081704997619297811398312490961968464941242961221637449801630741056884495189560849526960547797598026608974373813630931931820741512850981572749507908321884979950147372626026331641846601665994560889064491091965872453741906160920532496232515801214738478089230106812395296052649342635393368128040488874887821248962592262440770651141627474273698528642338764187234139007519503664488609496036319553502096988533730510827363524840926180643265015794446682563720865784719234504041377319601460970559236120604436249771014305889336048373650778671553984581051790109739195244208070931423281091094251959101464514109620389989229308467247153236054953856519887340742534617754600567052036235107156103742776438484958462754089554915057602166142842601817478767737248332866105301250835244846610458450358428901687077050885570964244483290750429084030263947972013289706321028101509951489132640862016324009764957541388475935342952523848825079387027297442669120801768507831014848371824697224141861321756027514792042574062742471709629332711414227310812147102152738777054263170895830964888012285775393610951352700345547002503028953196437219736486405410581245343640027291600459997271945263718364839539646935849247497634433078360540100307/337058853877457981530546103732910446125366596733307819707120151118509082508075202011150323720481606898679080384801678034267857302755610644504368541657492655107951726830360365639825807839528519005408811097005819963256914636819374324083832549225243457167719547075837056346996886575007100248870221913631077880601474637400935118813585001618516719150335773192634018800903421824681511708185671552677691218588171100700301797182053460618220171850000016633987002244636260639806740310721164009403516251008208259971635542178039153660142092298406697313991920454635554934412522762825711810219112348588046822424632356401751366745132671132370829764577987305955343926373348287843135400060340988400291465820517922797641101077873978833327977451601273310172190048923642699451154111472369987500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
