d,pobs,turn,risk
396,54,0,165078546055967791086167172416874547084334081788779004219659564219019288462633851579187215288547988691551699094826899928247372516994787044377373850884100479799732616041035039812137143998804951166548400740052718191098326826892785930867853692766285637578062025555645218907558602984627073127517708089857318294378555350228765325320991297163337800365700910118067765981813424486402158819470227646145452383354720557818251346145632876314782682251177074993335710840578955840867753571536501320025471518550266712212575710343807706197956748048505288531539543593973108448168803340921322242303451637441116328861661060339997283629198371809523848218190291262784464227699724914014871310360534054675672045869270839302263277604012117593232447954473369224744455422882488291284664069405773607991821329421235884066186616450830325856458186116447867218204589798164397701218910980395607536023450890654021461606194419780225355579044692652556875740575042644372897867906044267795854845701920609645764018584605895859245198489096730641828474096178906402694874727806811287010072704542414587320784452227188275000487320553200001142363490982315265032754594089000925916180517049678748218515164254969888672434988692331864081375788244175171885896634233482473957144170636228678049844717402148095601246663785715137724208580972355283362358991397440718599810183160809/1932637337163152680125179879286853662791609098055130537095686161267637521804129514122050470823722686126802418605133206020416522531312247465058939480762966506874991983136422140338525714067699820234564067478173153189685993043831523984671699747774418282861210107534543767066515025515573240834756458456713734699248723168190810174836766130550748087606618812973553237856632975875142286533532407076152469461320990072207001478733130648805145047775070232373934852016016893886222171216225214970060912708256677099339748772548296500826076338614336109760156814598692592747435266594131003765104569811493316205821822533788429600651959697685250390802978241059682925468116591661296211824317479506728679590230889324500634986623896014443753889510133649926242770538337189110771878672460500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
396,53,1,96858049285243135316859005501850409250701872326440310917569063699686119923712670623028013489297391014566904182203730365775733973844130145865103390000290333700681746539110647486311589569993212605931127904595754344365672489503048350698508157871058265370420600103569611069598573908903664051918602702925370528429761747559255169756138827267883115313963045443085169720452967402575937034519128133042468178382531287227915787955414990365752427234633451421855748927890651940531989804385673791930043514918646455544879585885138632367642901765758858562950298559980237854085848681518847713482426070828218962247309166106772802629569126233628963664176296804741822527553935528834504107266490183137986681245131214910780207367055361145867903848602464040808322922876276424166468192064728726312812166227426147481404617306804687710561800798820238649152855194064889367140936515589711860294812110425860808192818004982827014327243930035840239861740521543081761901358077997090956816043091909099334066122927878140498697818504462054500636893793945896227850087735576286740032401490357772778392658159272568255064886761713395470932652406863412636917712205876792066464594821649650690951494263760767812772208206262658693854840638663607565765380656815298174088825806787099627427832488060028496317053889581265517237678559160299687323207749103916526070082161861/48151264839636854504363729104701492303623799533329688529588593016929868929725028858735760531497372414097011483543096862038265328965087234929195505951070379301135960975765766519975115405646931286486973013857974280465273519545624903440547507032177636738245649582262436620999555225001014321267174559090153982943067805342990731259083571659788102735762253313233431257271917403525930244026524507525384459798310157242900256740293351516888595978571430947712428892090894377115248615817309144200502321572601179995947934596862736237163156042629528187713131493519364990630360394689387401459873192655435260346376050914535909535018953018910118537796855329422191989481906898263305057151477284057184495117216846113948728725410568404761139635943039044310312864131948957064450587353195712500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
396,53,0,10601018453109121897112071506073314071627099527865029073808174839519234571895543414674914150132726658524496238716896305822544058250832559351405513815061542444831397873848387465211194085987897853837718755842201720349997134151754129161512055152516376808533649617396471691114947261688660320326077593833317442519420073537204813642498988222644488003668913681311020449574582126480009586487200023806666068366060619027992255821957557609430745716078851397215279488627799476224151815751008353548627296687463394014266905117182059596011989398259169041764997531563396687719495363379294919876198328223242991251148186166576565738750222347799593497623214110767365290678064223579003960702906430663182231961603985234088835215392945708288838503302047192712251196127138672795002358208295309631057566628380517683142203495725545193848316953079295664862305005423165219888071600076624827437919685665676114120513193849187459584700543988283781880838755499788679002685074351987927043174372391055143036422243272970323204171810469753287314828898166040175143981711561358779966642753419355129318458521753029666244271708778621762444760035355301997406029647146925165575017650161592754223780208209009142937920280244804167895473624584821455633313202085434402236906735121313691436006060487947316550745549438196120027567180374195989147773757700583881728888358599/6557162393946410878996146019008967784471530868401335750860363761443770163264010851485528383151916256501651063124559091854984630016952268185021401809731493505468722799927146547577140815586838675795842371800944626893577476398714099233707552715663204888279105721992202066832818836570694924260780841192421599872451025034933105950339027942940038154379599544017412771299290453862089900738770666865517307100910502030702326445701693272731742126379702574125850390768628747113968080912192693648420953831585154444188433335431720270659901863155783229543389192388421296821655368801515905631604790431852322841181183596782171859354863260003528111652961889309638497123967007422255004403934305469258020038283374493841440133188218620434164982266524883678323685755072605911547445495848125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
396,55,1,121318357208274020012777578156197038753445003209371670993757362652387517496842516008898450720492168460723019829343947587889104039599330791494752494517527124296948692629413511944486713491920501957418109087992672822740513079336546002530485467364071521840269939065653700059046702275007777178411514597789223526096409748821411020772976093297878869448034035916479098540287757851717156938009826369919296773197800967563854161538176413873921467334942637492677029126146343581589003872550691001267641209010542767400568226459406082694950435565206738205976661325579990495626318277978690631028235655710911309713565374566568094861780993763236331270614507386386471282105627169502740107977452138272019715558802725252313514036046716487004526783549483578123288128365455934465920726239829080130972786828747984694048336897108290593661756373296160986364550679410226678308917602207913762046406532845003444926945880489192142684401174968306563124340609876547826579663215660358742143915730734332371819952161931399492878284519175841983787290733443395747617529105175500919865221339155863711616236311448891018373401800352314318957554238337921722003537518692242543918259454333722102347424352536948175448195149144618215006168550026646307945579371552653091399881038871462192203210404537205190362070153999693008560531849837808189573755531218614833117530726003/126335745036877240699000789922025727372147294540808254721603393271357771258235561260529379612417159447769185508210263506104362286216968696307202823897313489531029386655056653451328756152144060653207797220065762769228984712871978861969015430159266206864199877939319108750801911838807680987274684161810181670251043463382231124023049525026457234900322677802076088856935339661920248449070176995864990477933219735239960778441863442679216377016942014666401396801291336011595545833916464083255111646517322748163064662966850584656183422803163733414806561112918759790266811353764995855956921965776049342393460696965838974061423935227921493539387204173326052016940152313809828777141116045795219030819783746125846635035034675673591766440231602969811440416416293788933751230047834777500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
395,55,0,2182820152455382003978087575446060721195355464312181714515891049056917060402924849019457346380640537732517952648095844445956884158293087189966007145228358610683362647187907141515366024128046584389082644499347069059036819295552899096021614583563091979373321533167244603781091479950834236987958544726940355978221054252952824096408205143642763125768697825268875909174701636267516681171376453122139854464782245019389153539373157151399899648726276428090616753099690755444110610818612901550530760069981041039231945436167512583457031523620370810003826767177021116810317435696120793247377403892467976718354167115187398593587128341261534655075559081758357676315019726995385160433216091386452166594347683889991730175936373163249524769168011729021149539378160777888648878575184845309370959215199698136209498268213932153874521238794409954847849128821794372711817425779462502775323811728891022026906357124999353259765367421923493998318857707206949856013443446566462030699800063138795863436299987029427881271029608010489321209361166983065236791647240501185626831948321476118424371876268074852237193943098195303563047306563611443306287251850500374892353683131752566807098524010680668809993276956711410185497143396383130488727458098741387325117169593448887832206727702205379782683984470542238377755640567324062091922750478560515463921357/431392262759632294670799080197958406873127030815877352030287089568669089688421766545100551523152385296161254152931519200985830922167912380593513276956019309570310710521522799182706632604397281302358050776377935979840623447283822318007075836556789795281520113288960662291632818195440455543472423762659315781082304278614020128311778154140791983840763127895882419164427003543558546101234912293784033361902006712546205687217216662679719876735506748297753315182146628099603163217907414055817168015235865423959765351015244754648677754154985738785749288972922453738266800579047099054710841475779758081656656815577774464431241003947600533661379071665107795863418882067253618710785151675609080265676537795647463166657119646081195064622797689715679189852307408283654437203674218750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
395,55,1,782592133475805423996324833171034316251851240929379977526114947065110123322462853531741739100823501322635312607320549460822486008872697426902190184874960916933597460838798018477150340094588905239422436732713818675453359349469036158850016865412900662622255374629427303461955531222843151410780025258063942317757564665015954607687971963239369349802215944565065333899595475014310534625310708283571329273469610386629396342914444545106022174883234527483230754556676372353310433495964033573131407815450309585292059261470522355543914927729694029877528202428313298405819541835045757567985192396007313404724980833385135712305136073276773469182506440914737222464939229121881502638736874819065251858061274298454707691657545604373263727350895468161089893251724707190667448329007665754838483785219363279400761361649915799087192888511755295572537758085764202141382422230408111375227637039862396538624872720498778957607703914073474333810532402387771262961683433406912649035250339420364404069455666243839614501451448658308090096645712567565967796091511656767659344091101938801847591470185463314931403319155137539897323770990823156490001445069270538303247952000259465928607225078831491026761338833482383561467244719361699409752566138448506952116863448842720380018873953133826306757905541432262782853305695957183321224769804106348746293421821/125744884752656953252059914472581986967897124497595008018050397188782626090433181337104324383517478288848322794732689896119969808935426622071079138731485524381168332446526001804844275402210194485470111342246457826506448996370144306863737004615508377719262027722964010207275999619007887435134676121143919212993418606961048335307289639109082588274318106386590920519937430509083560473800484040435131205119202800429282836972111825614350189286135723763474892101743957762187299576972626256694812080063869766799557523985312600261669019015325813294462760891735607866364303284009284746144349685551897334990263799476655843044400081460915802912712251082530343205184789305124663025128320146061083397697109092248551340597726719932950495859005613651480949799298725638579419642148222062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
395,55,0,2182820152455382003978087575446060721195355464312181714515891049056917060402924849019457346380640537732517952648095844445956884158293087189966007145228358610683362647187907141515366024128046584389082644499347069059036819295552899096021614583563091979373321533167244603781091479950834236987958544726940355978221054252952824096408205143642763125768697825268875909174701636267516681171376453122139854464782245019389153539373157151399899648726276428090616753099690755444110610818612901550530760069981041039231945436167512583457031523620370810003826767177021116810317435696120793247377403892467976718354167115187398593587128341261534655075559081758357676315019726995385160433216091386452166594347683889991730175936373163249524769168011729021149539378160777888648878575184845309370959215199698136209498268213932153874521238794409954847849128821794372711817425779462502775323811728891022026906357124999353259765367421923493998318857707206949856013443446566462030699800063138795863436299987029427881271029608010489321209361166983065236791647240501185626831948321476118424371876268074852237193943098195303563047306563611443306287251850500374892353683131752566807098524010680668809993276956711410185497143396383130488727458098741387325117169593448887832206727702205379782683984470542238377755640567324062091922750478560515463921357/431392262759632294670799080197958406873127030815877352030287089568669089688421766545100551523152385296161254152931519200985830922167912380593513276956019309570310710521522799182706632604397281302358050776377935979840623447283822318007075836556789795281520113288960662291632818195440455543472423762659315781082304278614020128311778154140791983840763127895882419164427003543558546101234912293784033361902006712546205687217216662679719876735506748297753315182146628099603163217907414055817168015235865423959765351015244754648677754154985738785749288972922453738266800579047099054710841475779758081656656815577774464431241003947600533661379071665107795863418882067253618710785151675609080265676537795647463166657119646081195064622797689715679189852307408283654437203674218750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
395,57,1,58482363493915134603724252511982169892835723032564353316291972456521731156333732718025282373030369243614238551976867809740796236143844909867189657327975027374493096711134239427483737610555481290999437013748702889257833650162218891201499992814703731598367739940616453876086909915619754134492963925901476104179549953216823696766613276558105406026238970422047767524080418856661015612045352847631937283732161097263902091276323667826679169240972785272829813691791179717412400882748234779138838311055986855222543606647126951295726452086656394781596554875822955872026183456952657430565380170691529615908184242657953303490385366834006813769885092639038889375832651058282644457682011734185075504606017365265731730848671866333786377230345904007981183067922813563774409685131724563105581581016097045840405050754506980681445234156167178963137332321405091033023514781839895599334731232049419288921296293092907354252624301127068835079396341159232806936442977121318244351494488328550210928443707782173441178672987485705552598333402108366802445612342447976222614877211753821009686471875503220954165773992229393706172757122616247986664245058721596080956912918782628204858274560679267884761744255168773796550784381565492943760064529273905850004471385574756580182766828338409231411166679751791924612398219560769774210113011102571528749318483/10372830006505403465945990252848576564348112373649881392831806903597874678180647085928563437363171934682398499199372989196178504491239888659122034386962723119490623509974147946178012957813089661515129388849849126310659134567311372099015598430337004329772904032055794221194576727964805542680503906113092952993970839738312772289995019864784406940692936967234896691319947857238922731242096267526618162123853319369188500670598255176044816720857625184174192535529637814569623244174923091364840011447122115052640625871870185650180875733979107603446568982126667396309767697358320764953425786589730788385761759966573124179781162007596322198616714302037590903623333268804555650204426623017687780922673283489639902638409049620247659550087748766230364871759641323990411326801401960937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
394,57,0,15612546297917981899678392456502127571380125005402927196283956236514642093579853350834649049288342786194591541660747409275616017871643095085520274533750737229684219509378413754065869571819911290426894724533715434150187469328424727608769154854604789310717531148251217625579259088784737073259324129743856123356760272206926490404173032643732331423369067561782768758174891191997884707996029619069319038004438775388676228403656528805954516919332755901921102836092315376457791513862557463262100528635101076056595302934902090779284808760631634768668673017499374764001460381557566386798863259160041745645436157261558204650068901240749070189652592200403426524705565639624531645600747478670079310929051109879920991492853447604517267390007919201460323350176306366048886083464560614028743665268371522248843023009046722654970292351609151290363027014324937764910144314456475972466913450336018903588879592398267914512968913883239578517040242544269636720532715464171118240664568331967421409473659660075456271778362852722770684681248917090823386638666909677232693885655305079131170498746347616001740753478508756910829665385757866833880186203917215404041657834202740577594961530005920175438133569635832167221941159608148992172102912617307249896951783363236893686736562566968847466886073795802066599489655487251040989974148681217720879/975504014380987720438236373334746807333658275348244337227174152453319214626992518616316471305675584365789483075202711743989667979349680322445617676422679200792154922316745546232588914250431977618538189329816125230008758996628011347180905277984713200930567275230845524996625740732524067032556783905612110986674892370657516260527510100380557372018233089255203616178250898396876128896455225945579814261749124795174867289767011504731120756934833508503031975085412692859072108582525669186086648233898728981762146760167889094123303192164589832745207279038775405592779242645818529153057474081699944782987521771898410231061656405557353233447632023664667976399839181564257151248312853582699033898301854928254764354473672103750794425061445394800563491101379180922956497718750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
394,54,1,3878575917604949538295165380237133014330345022697185193217987020842231362791983924383257934626174819306257387472599964474415232165357433680156997911419594672775105621750037883279381079619223241757254286632717513552237158434448566412857799897767226682580416024209499899996957177314894190198602302690261157528494286288024963921231729985757548848279826768724040216545218535886208805724250264566478434356191057580827779042222452160317817574816601466382594973581920957417851924351914299451706404726014865409044551409717514087386106395754931202293744757348787837240712757140677555980486922584916347845695453817590055463366839610429886001282243778467073141062738862862463897264122057759795044093048144399265767022741183327310697893722452412655261555443836516405391009681046634768493344011111388789632944686403815624290721194240281564681164106901937202192202304614283667036046303852168871751804970592147459482247106750272099571167637343029689574259909812362050192745653116992720898554664710691090949185051946289771938242762258900499782038948653198570374107291801288281037018024834672566762303061801983430894194856084687945955977076722826184008229465605742168973178829392748773853272417186016230017081982832690321847620133948622202318578781281641826703855497685368386189721182594621530512877563283850043389295247612180466348579/389955860888477553458183729619302437032483214246185796117411548014838077056644868657521054987625102924367981925776287315517370762960063744246912665071891179699668728383531014762378320248637619067537729879852332623487666023700601364476985969876909173463546169713066372155447988427460039802788785678535064299510661121692326760219983573081461817238586495130586125071906907774535356405774195994365298166647942759600492969338607716425803827174407461974628636758083560337676176972982930786908749549711768809736526791474899448998789078002731901899374929503910625679146998186380046092384137301419733249210309157485205431859928166842964466246601559680705687044028294191037641529391724346638127735328592918753032131047034484439402359370045836749821532382982849142257881246411525000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
