d,pobs,turn,risk
398,59,0,1
398,58,1,1
397,58,0,1
397,59,1,1
396,59,0,1
396,58,1,1
396,58,0,1
396,56,1,1
396,56,0,1
396,56,1,1
396,56,0,1
396,55,1,1
396,55,0,477813962493586109718381609790388337092436760628184394603651516831126172482562310325502649969764091599609824599824420725831764848168417357969861863571015913770087303671778696189495334302398287994082475007291627857611142265159958145190408450179264853318693257947620869587117865411113305901224493848858329341354424386938080238947133788154525547908700732828095136709637345897154811973226189288603281596227725285374406250291555690894340014820241087553921559111848156135675951994753568840536335051786170844990847741732163794476781362770524569251119226931632966398066643917447765279482458761011943762486915046510505323746104401245389021905583768673089927691502605333576233730533852368565102019453219665916260496208567780116868595212518760796335508197051613519000516972292941677799623612898545161557706206276710393926424252816743836426644224410337929983196851976676366149435579265056114435332272497438310800120027567376697807618215773017892238095882284929529696410510317380603426049789356524536705934847037759488383015127044507908561613511491810200870723994610667888400357537068593703298242064327045859255362326797212461153955934792238091798616694307831430540369845351294297016126005067155711831569512840166462878985721212891820472796952481508965245795812811140898602022119720144390871105351954538574199319106727214996842095644090600210488734101048755471344370402520374051397009644165895725986706332746707806128580597869296564397779142546208398228888744692046075778424644684963584200470245573888677285486451955324666124292962160247867372381600631584290205584137963/690227620415411671473278528316733450997003249305403763248459343309870543501474826472160882437043816473858006644690430721577329475468659808949621243129630895312497136834436478692330612167035650083772881242204697567744997515654115708811321338490863672450432181262337059666612509112704728869555878020254905249731686845782432205298845046625267174145221004633411870663083205669693673761975859670054453379043210740073929099547546660287551802776810797276405304291434604959365061148651862489307468824377384678335624561624391607437884406647977182057198862356675925981226880926475358487537346361247612930650650904924439143089985606316160853858206514664172473381470211307605789937256242680974528425082460473035941066651391433729912103396476303545086703763691853253847099525878750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
396,55,1,1
395,55,0,35964882002198255277116898612105445292777313295539072224891456652648972804867960176346355664097647444397926662016573576577411079062664014127925032494351336774805167675973774798503088090584926150840265964211660904979962926687681522347867767432729537768524706615345061535268170424992823675384130654123055869983302117770454001709285158141302018911748373707386549054280464196744661394752373321684237313166920655120692736135201901697811182410954025911838986651394167747880685741382950260285066240339256220399736990075968180317291364139425684270748913507775643792244231048629666328615597409828785962135081474636827924698852975526714296225241482098058435214381006924814991321769121362655486377504169177114622224663845958864110406272389594601438246040191435320148738831135150951534476994843098692308952791692893382598359915272829660864233932799067027242654058831051239722223503749473418658996894055176408136876896432296201180619775865378562152597391433915844228467217190793741623338692833247451907824321302136934231747158303361541936861976528260857486210044504633896246374804554195757995660567288126219701647771963582060069184495956751183138639281196127805356465250648808948855921364200795039020905644158523850157766993479335121358265711207907407914540865509708850266881582527672723394331484115115311336397986069210997269473018626091703030377813859188227150660869281966950778613677634478179052154373559796206042822666087159746369996832394305996295667285811474255843187958757543026411012658978360651536701952624241234982245005426593014938294445169674344082886881/51896813565068546727314175061408530150150620248526598740485664910516582218156001990388036273461941088260000499600784264780250336501402993154106860385686533482142641867250863059573730238122981209306231672346217862236465978620610203670024160788786742289506179042280981929820489406970280366132020903778564304491104274118979865060063537340245652191370000348376832380682947794713810057291418020304846118725053439103302939815605012051695624268933142652361301074543955260102636176590365600699809686043412381829746207640931699807359729823156179102045027244862851577535855708757545750942657621146437062454936158264995424292480120775651192019414023658960336344471444459218480446410243810599588603389658682183153463657999355919542263413268895003389977726593372425101285678637500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
395,53,1,234063165170761463065263189358884320052019765123191063892109004355828766267321870384421180273258773442684336752151103903104976977967535579320273613263090614754916913068746788452930370638187531100735521846188172675692101618696365009053293100993258179659764280277916452203103375480929080647632315958373345050221546801924153534521590994614911643354617377287829836226815866786284116075847020000577963953326902370806443237299736172586597990466937370236529903866309184376192019399666340017844940185766835178988731909685498745754966037168064920868485514938759583308726710510335270680362489607561504966833893307005128214000023362923715401980500852212535268214092048585462022228350655911575748562322888404999521545243247448465945011950463880503558025664625865972491620368167729768235873047335398796598755271478680060831575000116186656726865407306120572354902940847647784481353475350489729795267823894007283746688709742809581850696445273909659960511113271774605591678317016880818455223018736605065902818613798350591131965125523813763618187715420917213052406271696508879653314470939662832780929658768672010150941048799647564335990964143703960869261087616247332526660234449281675830348273529729971700931915344498655837747094194215809523975350953230521629399502014835545090095713303752746255289144654755128323745600964479951005867072987/96336994431202592181088085188120175878900058680259085601260289542100744117966672288552739247189268607724783182681137250922988161697818489934119080063772307142971748943367968123447737424152113184829604505652608830598148294548352473847593184884007528990822816292472234060566346236747256864327422755867050022889717031968415266699154832356924670639589385205156866709344135646942401801062186557474471443550450763414639000576907629503641643399709520950246971604467951401751746821045260636798482921644635648866567322191191556029599507211698869767135117709248625724095394798577300100718429736481671796081924007570777344283183360570959859476802062187766861431503615394779111632307987710894016463641867476422883683926417562539682215589082383966708008596517207860866745412362094406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
394,53,0,61953079645088484549021911405236768565332954489085436156560342380091636656698026976816643381879305123734779389710946736471420014082441050071390880444340629183435456204116676451355730844744740027106302072052584142709045021613947335940335811928585103439556623919832074718842283553193637167043756635308699530838687371513274960327779540519599984790656985837950141451755162838321724581123489385685163195516864580785942750465736050673011303547828368900475341222604445209672372980026285057824478262119543701002145764932927788576441929187453722980174334969106668265997397139246655603298022632477586981960957060480088334619718741327138770327260608581455624159035806086159531647825401831576407671637834694364436622955158858590586762255537072557557439724490456274991288278790288094182964544598676274646443996380540693425897969898751763421461614086984433870398992642675084377756685351922536574101566047975700273598189540589244261341658528767492317582432278847813161849950596610027998706114661828701732206360751579344002391570642807242033747113928813074720873601079133900006278566881900012760830976274841518570191144609563158906261661036154544847896804100269731903104700400589487023931616154515249998974659959412701009256150383376380455821080949910539331855361984018379748059253773197828868718020618240789771501339585077969265709/3902016057523950881752945493338987229334633101392977348908696609813276858507970074465265885222702337463157932300810846975958671917398721289782470705690716803168619689266982184930355657001727910474152757319264500920035035986512045388723621111938852803722269100923382099986502962930096268130227135622448443946699569482630065042110040401522229488072932357020814464713003593587504515585820903782319257046996499180699469159068046018924483027739334034012127900341650771436288434330102676744346592935594915927048587040671556376493212768658359330980829116155101622371116970583274116612229896326799779131950087087593640924246625622229412933790528094658671905599356726257028604993251414330796135593207419713019057417894688415003177700245781579202253964405516723691825990875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
394,53,1,1439610428791236260023521602289951292906928065088582704737393903706016788008997065357402438255872639387243951901733083006040587824762511611380039374254355019920572691397801880498551632318744420352783823427979322132459782735890200253572579258904389859779406790205988719127206310864771924836102200551073812633401650980840320763499812760307191621909162203355072558756632770252115009638857162117227435401342586731971017517383457151606900391544316112392731685775811101702561943219213960909342943635246854684537188402881698246710628465017280012135113234806098980153559724344770123996067221486724140912846139975369793453780011535115528001394934300309937933480688719058556054793768141926987483614802209701675408613485132859392972276521191890602255995247113953875215939484633372656129905528746613458928753922012915262608023197356862182571028727504602156519090288373547995150703665927770546610890835090311519207159146886578584071293191608401500549025270391218415226312795510332128126354290832131862237777332593610946946147522691777240774974907005816086166538437445196995488710996349034489812464002555284527142721226513472393477319108330784996944843041834905659884933177359955384251436426459965781864266411236305673983499545874509510258667248162023082141329881531550712128469774243772324869181065249217516839345946015706069460753/153572056714502505795348755038762871857263084932902503518615247072064275559967494849158360525329393022099344968713781010837750288408000147351578150350259613929339277596763698587270842366896689764942858927999273937920442072903889992684562790167957633885866157875473225454653006217614844098092731505864874192456986187661501220395487187455384230407295669610253144447127020643728003378281214975519031875309909323149439607637563094329549712678845152664408371681946385374657102466607148954172169315702307589816211982116241041315577742642694275385131542138107508772883458097242822910046122790775577517799226098568221619923040154785201134247081581645491314259400787870742743967625184677123915171292979492110523992170546293495429012451489040958092498988051543327678531504550625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
