d,pobs,turn,risk
399,59,0,1
399,59,1,1
399,59,0,1
399,56,1,1
399,56,0,1
399,59,1,1
399,59,0,1
399,59,1,1
399,59,0,1
399,57,1,1
399,57,0,1
399,59,1,1
398,59,0,1
398,59,1,1
397,59,0,1
397,59,1,1
397,59,0,1
397,59,1,1
397,59,0,1
397,59,1,1
396,59,0,1
396,59,1,1
395,59,0,1
395,59,1,1
395,59,0,1
395,59,1,1
395,59,0,1
395,59,1,1
394,59,0,1
394,57,1,1
393,57,0,1
393,59,1,1
392,59,0,1
392,59,1,1
392,59,0,1
392,59,1,1
392,59,0,1
392,59,1,1
392,59,0,1
392,59,1,1
392,59,0,1
392,56,1,1
392,56,0,1
392,58,1,1
392,58,0,1
392,59,1,1
392,59,0,1
392,59,1,1
392,59,0,1
392,59,1,1
392,59,0,1
392,59,1,1
392,59,0,1
392,59,1,1
391,59,0,1
391,59,1,1
390,59,0,1
390,59,1,1
389,59,0,1
389,56,1,1
389,56,0,1
389,59,1,1
389,59,0,1
389,59,1,1
389,59,0,1
389,59,1,1
388,59,0,1
388,58,1,1
387,58,0,1
387,59,1,1
387,59,0,1
387,59,1,1
386,59,0,1
386,59,1,1
385,59,0,1
385,59,1,1
385,59,0,1
385,59,1,1
384,59,0,1
384,59,1,1
383,59,0,1
383,57,1,1
382,57,0,1
382,59,1,1
381,59,0,1
381,56,1,1
381,56,0,1
381,59,1,1
380,59,0,1
380,59,1,1
380,59,0,1
380,59,1,1
380,59,0,1
380,59,1,1
380,59,0,1
380,56,1,1
380,56,0,1
380,59,1,1
379,59,0,1
379,59,1,1
379,59,0,1
379,58,1,1
379,58,0,1
379,59,1,1
378,59,0,1
378,58,1,1
378,58,0,1
378,58,1,1
378,58,0,1
378,57,1,1
378,57,0,1
378,56,1,1
377,56,0,1
377,56,1,1
377,56,0,1
377,56,1,1
376,56,0,1
376,55,1,1
375,55,0,1327327762759072049756062954271208621779121301962901541889750430864701450523995446829596081221216707291377981879593079942501693672796909342242615458770888247695939016048469760733826987302955784314652090160814434741291455895866411883279995522910062452312304033904911160352442375262895432025234484087147395017856488296623133294022790267335513166893319613097000026891511616012261166053452042219566200176812975705613623320924560862364139819569343306545049617235517397060035921979161186389089141565063713505116177272421215058517370174170763572052942848082089571504155904251115505710150021524333781969856009365022008796180399912033282855010052161438903448082742053854450829825544434962401825238203813129768222949384854801500485836980193081492447434779427588324490574784228495627624361403008790715661333627605544407337967055147069474278235463603554271190651333546381803556935288394548874872436036004560883093039332857841994197765299824276205338718939541472715845317139346761185552549013116661207797166700599464805468943210578148116600319373909004948452909045102968715181441463546804550901449637365909015570363037699216903229403435850901167781865851580267709055644511409075808907838755361870281838172684022788741210349336533143737843103213110008629069508030548219770434279172598471715216967817094185314349978028124610950109714393285768789932287107700348491234760791138498112509399409407900011197788622542753772335132222249850393452570839561626865879120219625218642948325553290067694619/1874637277763157933710909768695664720151036775629881120009948044016197227563888652737987456752913051606172577147561639931535789088690548396710925517856303885988742583991148754142497497199672075117858426158949982166207535671056091913054162829620884465928146071031959516381546242211611619573136987507788630796104698302563327467411907235722384912120438949522763194070744060917103998591522077504269269420035750025517614979338338987742014149667774879281457107954868193387528097583165178225221843624719328905444623310472521186662815953552249455772106952224069668035176849070078979933820469634926372451947066859389901770572038278011938863850995633770294576338166802902785463266033923186531114767380037384541641900325570328731532334142187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
