d,pobs,turn,risk
399,59,0,1
399,59,1,1
399,59,0,1
399,57,1,1
399,57,0,1
399,56,1,1
398,56,0,1
398,59,1,1
397,59,0,1
397,55,1,1
397,55,0,396751464060033821408733914058062346801214930241362400662255036276304961786441498691528977235843248756879505444451118209146668699117829016431854160816450959011814760466644518408335290006264179613778699299034787720659421384466931385871240127432600889562049350187856003341732289163163236431362228349734761433056056351061495093953895803580363945075120941478981702810134490847388379367155881271767915965826399243487549877917511099354111505725150917474100121724838498441111713958677217885473827725206866553774816920265937224429552053112143768521318552142363009552617372454037832501752800786129322560894617201242834898557203873584720715874833094269034490024821379233578605396256183759380084147938922662154579534728592593853301118165437473326983921551549199442894464091501609004779350922182877473066116038731435668980322913531052227384768352483862971576121526928902305375354381027301008761008005695204725819340861097601265275529291119891366937747179201403498135336629252543127104665375629144852336766770167395215013809018638485921682973395105357059554102810032535097354265602795941214875971834032593733772072480624391317986376722742636528942247000653901084679867770322154970042669237574828808716428541604372890819866991502981879748947297145833447224874423240135494506433417164218922161145125151497655373400377431697197022447377217516224841599120949566055773431567060541988243565310246739143594849097220852606146495109145711340841928490110542300205552549225822119620844472068640686415602197561947010013244369246322742066736571837425467061557342125517647954298706712899/573751709470310951912162776663284681141258950985116878200281829126329889285600949504983733525792672443894468023398920537311155126483323466189372658351505681728513244993625322912999821363848384132136207532582654853188029184887483682949410862620530427724421750674317680847871648199935805872818323604336889988839464690556646770654664945007253338508214960101523617488687914712932866314642433350732764371329668927686453563998898161364027436058223975236011909192255015372472207079816860694236833460263701013866487916850275523682741413026131032585046554333986863471894844770132641742765419162787078248603353564718440037693550535250308709769634165314593368498347113149447312885344251728560076753349795268211126011653969129287989435948320927321853322503568853017260401480886710937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
397,55,1,1
