d,pobs,turn,risk
399,59,0,1
399,59,1,1
399,59,0,1
399,59,1,1
398,59,0,1
398,59,1,1
397,59,0,1
397,58,1,1
397,58,0,1
397,56,1,1
396,56,0,1
396,59,1,1
395,59,0,1
395,59,1,1
395,59,0,1
395,59,1,1
395,59,0,1
395,58,1,1
395,58,0,1
395,56,1,1
394,56,0,1
394,54,1,4955922636763800830471573268910120685835554482574343717086429323127492342716998641743610391559535231184163573733348584205193515715528201700928845179046534902607634332128413496339377151530244140240616170121773123086555641882656036848548594712614071124633468280921287065019408347189414959239373869983603955429349193032826743943225592436976370440439398627678047708543431829498160599872746653432632859763035582045681048381878713056669878451440391425759120737673113816224917524024815829526360609204422391653306556741848785117897883320051297975427478956470848336961577347395976922192717604971553099982883724606817620020198858835554122578164216786701881978080270344639084408130981802638558933914646639666342897803817689513660283152873363251621692266051274174359131330652778023031921255769367827223595681333868400367849905571569960069858695406587379364341963872212233760672760188612406285507103181541380675823841883082641066788939297075702619903423615086107749330537938150428498908764233295807140343433371619463038359960269584133783205996529661969888796632920452295115651080344069177419400410279382125897071093876295871376463650965249683816904964465821411806145679551255368875438679520520196219522795557840496614514770252863429402775616047574333223770103303134969760687296717698440130787697226440820238408425714894362427019/4107385323709421980792574203514723399299613790939976156745996431382396693166284288910806194971265618382271507685064049448377549386735496094507863900727070319124862830807349668347742796843924116288581849809752106231615827354223205672340653802040897688128704316761454842091055750452732913821291721707840467312315336297505331623273726738444452092708349849495594173382109045881583700616653582928757112681048946505999441220071627388341561081830877930539082000359632390985566772979055449204575360984836753607419565305970059343677066072271957190506135911742212234074859969035025385907610417186105030665210617986940674657101711181294118877674240099640707269051954448691609057887633067716627511150744652329493744650415461489477029158153454293897109436216333393359816832500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
