Index,Observation,Risk,UnfTime,McTime,TotalTime,MdpStates,MdpTransitions,TimedOut
0,2739,1.0,2.107400001705173e-05,3.924500003904541e-05,6.031900005609714e-05,5,9,False
1,2515,1.0,2.0945000017036364e-05,3.3927999993466074e-05,5.487300001050244e-05,7,13,False
2,2213,1.0,2.4042000006829767e-05,5.3882000031535426e-05,7.792400003836519e-05,10,28,False
3,2669,1.0,2.6954000020396052e-05,4.4616000025143876e-05,7.157000004553993e-05,13,34,False
4,2213,1.0,3.157300000111718e-05,4.373600000917577e-05,7.530900001029295e-05,17,52,False
5,2669,1.0,3.501300000152696e-05,4.685699997253323e-05,8.186999997406019e-05,21,60,False
6,2213,1.0,3.905899995970685e-05,4.5439000018632214e-05,8.449799997833907e-05,26,81,False
7,2669,1.0,4.289200001039717e-05,4.817900003217801e-05,9.107100004257518e-05,30,88,False
8,2213,1.0,4.747299999507959e-05,4.6896000014839956e-05,9.436900000991955e-05,35,109,False
9,2669,1.0,5.094000005101407e-05,4.9290999982076755e-05,0.00010023100003309082,39,116,False
10,2291,1.0,5.56039999537461e-05,6.5556999970795e-05,0.0001211609999245411,44,137,False
11,818,1.0,5.944399998725203e-05,5.101400000739886e-05,0.00011045799999465089,48,144,False
12,2291,1.0,6.426700002748476e-05,4.9860999979500775e-05,0.00011412800000698553,53,165,False
13,818,1.0,6.64009999695736e-05,5.210900002339258e-05,0.00011850999999296619,57,172,False
14,2291,1.0,7.029099998590027e-05,4.972900001121161e-05,0.00012001999999711188,62,193,False
15,818,1.0,7.527200000367884e-05,5.2494999977170664e-05,0.0001277669999808495,66,200,False
16,2291,1.0,8.005500001218024e-05,5.203200004189057e-05,0.0001320870000540708,71,221,False
17,1080,1.0,8.498799996914386e-05,5.522700001847625e-05,0.0001402149999876201,76,231,False
18,721,1.0,8.989600001996223e-05,5.4020999982640205e-05,0.00014391700000260244,82,255,False
19,818,1.0,0.00013449599998693884,8.146099997929923e-05,0.00021595699996623807,86,261,False
20,2291,1.0,0.00012210900001718983,5.5366000026424445e-05,0.00017747500004361427,91,282,False
21,818,1.0,0.00010332200002949321,5.788800001482741e-05,0.00016121000004432062,95,289,False
22,1595,1.0,0.00010619199997563555,5.4987000055461976e-05,0.00016117900003109753,100,310,False
23,253,1.0,0.00010733799996387461,5.803900000955764e-05,0.00016537699997343225,104,317,False
24,1595,1.0,0.00011434800001097756,0.00015373799999451876,0.0002680860000054963,109,338,False
25,253,1.0,0.00023434300004510078,0.00021623700001782709,0.00045058000006292787,113,345,False
26,1269,1.0,0.00013080499996931394,6.225499998890882e-05,0.00019305999995822276,118,366,False
27,378,1.0,0.00012550099995678465,6.280599995989178e-05,0.00018830699991667643,122,373,False
28,2255,1.0,0.00017897000003586072,6.049800003893324e-05,0.00023946800007479396,127,394,False
29,221,1.0,0.00029567299998234375,0.0001455610000107299,0.00044123399999307367,132,404,False
30,2506,1.0,0.00022184800002378324,8.48530000325809e-05,0.00030670100005636414,138,428,False
31,1350,1.0,0.0001619469999809553,7.070300000577845e-05,0.00023264999998673375,142,434,False
32,2915,1.0,0.00016147700000601617,6.383100003404252e-05,0.0002253080000400587,147,455,False
33,2654,1.0,0.00019439999999804058,0.00011055300001316937,0.00030495300001120995,151,462,False
34,2915,1.0,0.00025368500001832217,0.00010614199999281482,0.000359827000011137,156,483,False
35,2654,1.0,0.00021642999996629442,8.933899999874484e-05,0.00030576899996503926,160,490,False
36,1548,1.0,0.00018159799998329618,6.794099999751779e-05,0.00024953899998081397,165,511,False
37,1480,1.0,0.00017546699996273674,9.121699997649557e-05,0.0002666839999392323,169,518,False
38,1548,1.0,0.00021601100002044404,7.008699998323209e-05,0.00028609800000367613,174,539,False
39,2390,1.0,0.00026559899998801484,7.88109999803055e-05,0.00034440999996832034,179,549,False
40,2631,1.0,0.00019859600001836952,6.855899999891335e-05,0.0002671550000172829,185,573,False
41,2464,1.0,0.0001966199999969831,7.118399997807501e-05,0.0002678039999750581,189,579,False
42,2615,1.0,0.00019811700002492216,6.70669999749407e-05,0.00026518399999986286,194,600,False
43,2926,1.0,0.00020468499997150502,7.151099998736754e-05,0.00027619599995887256,198,607,False
44,300,1.0,0.00020455600002833307,7.007499999645006e-05,0.00027463100002478313,203,628,False
45,1281,1.0,0.00020974599999590282,9.608400000615802e-05,0.00030583000000206084,207,635,False
46,1746,1.0,0.00024077300003000346,7.74099999603095e-05,0.00031818299999031296,212,656,False
47,1333,1.0,0.00021788700001934558,7.610199997998279e-05,0.00029398899999932837,216,663,False
48,2250,1.0,0.0002159659999847463,6.95999999607011e-05,0.0002855659999454474,221,684,False
49,1600,1.0,0.00021695100002716572,7.284299999810173e-05,0.00028979400002526745,225,691,False
50,2250,1.0,0.00022066399998266206,6.820400000151494e-05,0.000288867999984177,230,712,False
