Index,Observation,Risk,TrackTime,ReduceTime,TotalTime,NrBeliefsBR,NrBeliefsAR,Dimension,TimedOut
0,1405,1,0.00617227999998704,2.4919999646044744e-06,0.006174771999951645,2,2,2,False
1,880,1,3.0120000019451254e-05,9.529999829283042e-07,3.107300000237956e-05,2,2,2,False
2,1811,1,0.00023493800000551346,7.620000133101712e-07,0.00023570000001882363,11,11,3,False
3,851,1,0.0001744970000459034,8.989999855657516e-07,0.00017539600003146916,11,11,3,False
4,1924,1,0.008354152999970665,1.6410000398536795e-06,0.008355794000010519,92,92,4,False
5,2229,1,0.008981308999977955,1.701000030607247e-06,0.008983010000008562,92,92,3,False
6,1924,1,0.5455911029999925,2.2199999989425123e-06,0.5455933229999914,836,836,4,False
7,908,1,0.4582367099999942,5.602999976872525e-06,0.4582423129999711,442,442,3,False
8,1198,0,0,0,0,0,0,0,True
