Index,Observation,Risk,TrackTime,ReduceTime,TotalTime,NrBeliefsBR,NrBeliefsAR,Dimension,TimedOut
0,130,701461/2000000,5.01149999934114e-05,0.006832376999994949,0.0068824919999883605,1,1,1,False
1,23,130879/250000,1.992500000369546e-05,0.0073068709999972725,0.007326796000000968,1,1,1,False
2,218,2427659/4000000,4.190100000300845e-05,0.008421709999993254,0.008463610999996263,2,2,2,False
3,202,2459123/4000000,2.9298000015387515e-05,0.007642077000014069,0.007671375000029457,1,1,1,False
4,141,1108267/2000000,4.2975000013711906e-05,0.007468758000015896,0.007511733000029608,1,1,1,False
5,385,3620047/8000000,1.943499998446896e-05,0.0067247509999788235,0.0067441859999632925,1,1,1,False
6,54,4757743/8000000,2.2526000009293057e-05,0.007005824000003713,0.007028350000013006,1,1,1,False
7,17,558451/1000000,1.8061999981000554e-05,0.006724288000015122,0.006742349999996122,1,1,1,False
8,283,5690787/8000000,2.210100001320825e-05,0.006965438000008817,0.006987539000022025,1,1,1,False
9,277,5492449/8000000,1.9565999991755234e-05,0.0070968640000046435,0.007116429999996399,1,1,1,False
10,96,1458503/3200000,2.7555000002621455e-05,0.006712021999987883,0.006739576999990504,2,2,2,False
11,318,4534041/8000000,2.125599999658334e-05,0.006993523999994977,0.0070147799999915605,1,1,1,False
12,264,2776653/8000000,2.2450000017215643e-05,0.007004542999993646,0.007026993000010862,1,1,1,False
13,93,227343/800000,1.8516000011459255e-05,0.0069133220000026085,0.006931838000014068,1,1,1,False
14,96,8377003/20000000,4.6328999985689734e-05,0.007058178000022508,0.007104507000008198,3,3,3,False
15,93,1782669/4000000,4.725299999108756e-05,0.007753269000005503,0.00780052199999659,3,3,3,False
16,96,57778581/100000000,0.0007747329999858721,0.023958726999978808,0.02473345999996468,23,9,5,False
17,93,30261577/50000000,0.00018110799999249139,0.011014017000007925,0.011195125000000417,9,9,5,False
18,96,2754959/3875000,0.09888721400000122,1.0271541259999992,1.1260413400000004,515,496,7,True
