Index,Observation,Risk,UnfTime,McTime,TotalTime,MdpStates,MdpTransitions,TimedOut
0,2766,1,7.98039999381217e-05,0.00012539699991975795,0.00020520099985787965,7,14,False
1,669,1,0.000129269000012755,0.00011921400005121541,0.0002484830000639704,11,22,False
2,1371,1,0.00018302299997685623,0.00022917100000086066,0.0004121939999777169,17,68,False
3,2873,1,0.0002353739999989557,0.0002615449999439079,0.0004969189999428636,23,80,False
4,2221,1,0.00032736399998611887,0.0002873600000157239,0.0006147240000018428,31,136,False
5,1312,1,0.0002773339999748714,0.0002667990000873033,0.0005441330000621747,39,152,False
6,1717,1,0.0003947120000020732,0.00039091099995403056,0.0007856229999561037,49,218,False
7,1434,1,0.0003594970000904141,0.000358350000055907,0.0007178470001463211,57,232,False
8,484,1,0.00045181199993749033,0.00039832499999192805,0.0008501369999294184,67,298,False
9,1434,1,0.0004704269999820099,0.0005830090000245036,0.0010534360000065135,75,312,False
10,688,1,0.0005980349999390455,0.0005253049999964787,0.0011233399999355242,85,378,False
11,502,1,0.0006045779999794831,0.0005691009999964081,0.0011736789999758912,93,392,False
12,2044,1,0.0006769170000779923,0.0009447140000702348,0.001621631000148227,103,458,False
13,2166,1,0.0007743140000684434,0.0006913019999501557,0.0014656160000185992,111,472,False
14,2044,1,0.0009572850000267863,0.0007125469999209599,0.0016698319999477462,121,538,False
15,1152,1,0.0010990030000357365,0.0011049749999756386,0.002203978000011375,131,558,False
16,2548,1,0.0012064779999718667,0.0011551050000662144,0.002361583000038081,143,634,False
17,2166,1,0.0011631890000671774,0.0008911879999686789,0.0020543770000358563,151,646,False
18,2044,1,0.0013552369999842995,0.0010050189999901704,0.00236025599997447,161,712,False
19,2166,1,0.001124097999991136,0.0010561819999566069,0.002180279999947743,169,726,False
20,2930,1,0.001187280999943141,0.0010999469999433131,0.002287227999886454,179,792,False
21,2355,1,0.001239779999991697,0.0014184209999257291,0.002658200999917426,187,806,False
22,2930,1,0.0014060140000538013,0.001162530999977207,0.0025685450000310084,197,872,False
23,757,1,0.0014286990000300648,0.0011950370000022303,0.002623736000032295,207,892,False
24,1321,1,0.0015210490000754362,0.0013229630000068937,0.00284401200008233,219,968,False
25,1568,1,0.0015994659999023497,0.0013408999999455773,0.002940365999847927,227,980,False
26,602,1,0.0017842499999005668,0.0012646559999893725,0.0030489059998899393,237,1046,False
27,2692,1,0.001683503999970526,0.001584658000069794,0.00326816200004032,245,1060,False
28,2273,1,0.002035450999983368,0.0015043579999201029,0.003539808999903471,255,1126,False
29,810,1,0.0024416070000370382,0.0019013170000334867,0.004342924000070525,263,1140,False
30,2273,1,0.0022596149999571935,0.0014819300000681324,0.003741545000025326,273,1206,False
31,1833,1,0.001924967000036304,0.0017226649999884103,0.003647632000024714,283,1226,False
32,1648,1,0.0024685210000825464,0.0017555939999738257,0.004224115000056372,295,1302,False
33,1325,1,0.0024542289999089917,0.002300267000009626,0.004754495999918618,307,1326,False
34,671,1,0.0023675349999621176,0.001789384000062455,0.004156919000024573,321,1412,False
35,1359,1,0.0024365790000047127,0.002011638999988463,0.004448217999993176,333,1436,False
36,783,1,0.0024384090000921788,0.0018898210000770632,0.004328230000169242,347,1516,False
