Index,Observation,Risk,UnfTime,McTime,TotalTime,MdpStates,MdpTransitions,TimedOut
0,2722,1,6.240999999818087e-05,6.960600001093553e-05,0.0001320160000091164,7,14,False
1,1498,1,5.380900000773181e-05,6.054599998606136e-05,0.00011435499999379317,11,22,False
2,2766,1,0.00012000100002751424,0.00015675800000281015,0.0002767590000303244,17,68,False
3,669,1,0.00013168100002758365,0.00015382600003022162,0.00028550700005780527,23,80,False
4,1371,1,0.00021302200002537575,0.0002084419999732745,0.00042146399999865025,31,136,False
5,2223,1,0.00023094199997331089,0.00024147000004859365,0.00047241200002190453,39,152,False
6,1371,1,0.0002884479999920586,0.00042793200003643506,0.0007163800000284937,49,218,False
7,2873,1,0.00043528300000161835,0.0005878740000184735,0.0010231570000200918,59,238,False
8,209,1,0.0005739110000035907,0.0005215740000039659,0.0010954850000075567,71,314,False
9,1434,1,0.0005054499999914697,0.00043279499999471227,0.0009382449999861819,79,326,False
10,688,1,0.0005603310000310557,0.0007407070000340354,0.0013010380000650912,89,392,False
11,1927,1,0.0006269259999953647,0.0005618029999823193,0.001188728999977684,99,412,False
12,2548,1,0.0006209420000118371,0.0007271879999848352,0.0013481299999966723,111,488,False
13,2166,1,0.0006439640000053259,0.000599811000029149,0.001243775000034475,119,500,False
14,2930,1,0.001004978000025858,0.0008835470000008172,0.0018885250000266751,129,566,False
15,2355,1,0.0012720859999717504,0.0007927269999754571,0.0020648129999472076,137,580,False
16,2192,1,0.0010792859999924076,0.0009052450000126555,0.001984531000005063,147,646,False
17,1568,1,0.0009862290000342,0.0007940410000060183,0.0017802700000402183,155,660,False
18,602,1,0.0010121550000121715,0.001092398000025696,0.0021045530000378676,165,726,False
19,2575,1,0.0014945150000471585,0.0011314350000475315,0.00262595000009469,175,746,False
20,949,1,0.0014338179999526801,0.0009820420000323793,0.0024158599999850594,187,822,False
21,810,1,0.0011908189999871865,0.001223055000025397,0.0024138740000125836,195,834,False
22,2273,1,0.0012308830000051785,0.0010684210000135863,0.0022993040000187648,205,900,False
23,810,1,0.0013536240000462385,0.0011271860000192646,0.002480810000065503,213,914,False
24,2273,1,0.0013470740000229853,0.0012017949999858502,0.0025488690000088354,223,980,False
25,810,1,0.001307409999981246,0.0011183889999983876,0.0024257989999796337,231,994,False
26,2273,1,0.0015463919999660902,0.001188089000038417,0.0027344810000045072,241,1060,False
27,810,1,0.0021705589999783115,0.001296292999995785,0.0034668519999740965,249,1074,False
28,2273,1,0.0017301020000104472,0.001320914000018547,0.0030510160000289943,259,1140,False
29,810,1,0.0016924319999702675,0.0013966859999641201,0.0030891179999343876,267,1154,False
30,558,1,0.0017343150000215246,0.0014086600000382532,0.003142975000059778,277,1220,False
31,2964,1,0.0018110510000042268,0.0016998059999764337,0.0035108569999806605,285,1234,False
32,2018,1,0.0019515179999984866,0.0014917399999490044,0.003443257999947491,295,1300,False
33,2168,1,0.002126375999978336,0.001523039999995035,0.003649415999973371,303,1314,False
34,2311,1,0.002021643000034601,0.0015568819999884909,0.0035785250000230917,313,1380,False
35,1062,1,0.0019401180000500062,0.0015487690000099974,0.0034888870000600036,323,1400,False
36,939,1,0.0020731309999746372,0.0017351550000057614,0.0038082859999803986,335,1476,False
37,2180,1,0.0021694519999755357,0.0016486800000166113,0.003818131999992147,343,1488,False
38,2629,1,0.0022063399999865396,0.0018512240000063684,0.004057563999992908,353,1554,False
39,1552,1,0.0022591110000007575,0.0017558799999619623,0.00401499099996272,363,1574,False
40,2943,1,0.0024107159999857686,0.001923953000016354,0.004334669000002123,375,1650,False
41,1643,1,0.002482189000033941,0.0019305189999840877,0.0044127080000180285,385,1668,False
42,2068,1,0.0026296180000144886,0.002035939000052167,0.004665557000066656,397,1744,False
43,2213,1,0.002490523000005851,0.002051701000027606,0.004542224000033457,405,1756,False
44,956,1,0.002809615999979087,0.0025548149999963243,0.005364430999975411,415,1822,False
45,1643,1,0.0027520390000290718,0.0022254979999729585,0.00497753700000203,425,1842,False
46,1144,1,0.0027704190000008566,0.002634065999984614,0.0054044849999854705,437,1918,False
47,2959,1,0.0032006600000045182,0.0022959060000289355,0.005496566000033454,447,1936,False
48,1739,1,0.0028046799999970062,0.0022542799999882845,0.005058959999985291,459,2012,False
49,2344,1,0.0027591099999995095,0.0024495399999864276,0.005208649999985937,467,2024,False
50,2105,1,0.003443536000020231,0.002367954999954236,0.005811490999974467,477,2090,False
51,2697,1,0.003645873999971627,0.002717087000007723,0.00636296099997935,487,2110,False
52,1739,1,0.003480093999996825,0.002775274000043737,0.006255368000040562,499,2186,False
53,1939,1,0.0036261359999798515,0.0025439710000227933,0.006170107000002645,511,2210,False
54,1204,1,0.003463344999943274,0.0025233450000428093,0.005986689999986083,525,2296,False
55,2960,1,0.0034537370000293777,0.0025837789999627603,0.006037515999992138,537,2320,False
56,2264,1,0.003869200999986333,0.002885150000054182,0.006754351000040515,551,2400,False
57,2697,1,0.003676395000013599,0.0027251559999967867,0.006401551000010386,559,2410,False
58,2784,1,0.0036729639999748542,0.00276043399998116,0.006433397999956014,569,2470,False
59,1469,1,0.004075942999975268,0.00309989800001631,0.007175840999991578,579,2490,False
60,1759,1,0.003890341999976954,0.0030512220000105117,0.006941563999987466,591,2560,False
61,2516,121187577751665446540283168411123725177416096832860430711081128145779719297432503050182894138356092417564073/604536039435501118964941033679081932257314838860000000000000000000000000000000000000000000000000000000000000,0.003810794999992595,0.14897556900001518,0.15278636400000778,601,2580,False
62,1891,230012825026758624594826270353756560759589335952427431323020014453562612561823817840351843883427481781246800631/2115876138024253916377293617876786762900601936010000000000000000000000000000000000000000000000000000000000000000,0.004015652000020964,0.15529157299999952,0.15930722500002048,613,2634,False
63,2677,2687017271096692255286802494591367233044180391016812346932699960718743891207853497905359088044114539932755294071597/25921433075194339261106907460000544983616318878121372075000000000000000000000000000000000000000000000000000000000000,0.004260533000035593,0.1768607839999845,0.1811213170000201,625,2658,False
64,557,230012825026758624594826270353756560759589335952427431323020014453562612561823817840351843883427481781246800631/2115876138024253916377293617876786762900601936010000000000000000000000000000000000000000000000000000000000000000,0.004140518999975029,0.18428368899998304,0.18842420799995807,639,2722,False
65,2516,12084360582233865649397729425364401066295919435203487816279081082113075070277836787116030077521927369491117043292229/115784218354913928435599555181161426387031417498790645000000000000000000000000000000000000000000000000000000000000000,0.004175670999984504,0.2278501750000146,0.2320258459999991,653,2750,False
66,1891,230012825026758624594826270353756560759589335952427431323020014453562612561823817840351843883427481781246800631/2115876138024253916377293617876786762900601936010000000000000000000000000000000000000000000000000000000000000000,0.004695530999981656,0.2205093900000179,0.22520492099999956,669,2824,False
67,2245,129670566448980873673692652780393431595724758692953355130119609653321418257056187509795669520114677389027221/1511340098588752797412352584197704830643287097150000000000000000000000000000000000000000000000000000000000000,0.0045850079999922855,0.25481356699998514,0.2593985749999774,683,2850,False
68,1124,619000808001706422384568828912436077709318292513440056400335932464295300186461966454172296032683218201161547793/14811132966169777414641055325137507340304213552070000000000000000000000000000000000000000000000000000000000000000,0.004371925999976156,0.21517835699995658,0.21955028299993273,699,2924,False
